risk_dial,risk_category,risk_factor,modifiable,risk_direction,question,answer,min_value,max_value,sex,prev_value,prev_doi,prev_year,prev_note,prev_study_design,prev_participants,prev_country,prev_review_date,rr_value,rr_doi,rr_year,rr_notes,rr_study_design,rr_participants,rr_country,rr_review_date
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),1,10,Female,0.062,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,1.800,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Past (years),1,5,Female,0.272,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,3.970,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Past (years),5,10,Female,0.071,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,3.490,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),10,20,Female,0.058,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,2.500,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Past (years),10,100,Female,0.045,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,2.080,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),20,30,Female,0.028,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,3.750,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),30,40,Female,0.015,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,2.860,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),40,100,Female,0.009,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,3.650,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Never,NA,NA,Female,0.441,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,1.000,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),1,10,Male,0.025,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,3.110,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Past (years),1,5,Male,0.457,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,3.320,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Past (years),5,10,Male,0.075,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,2.850,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),10,20,Male,0.041,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,4.410,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Past (years),10,100,Male,0.041,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,1.930,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),20,30,Male,0.028,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,4.340,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),30,40,Male,0.019,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,4.330,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Current (cigs p.day),40,100,Male,0.015,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,4.140,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Cigarette smoking,Yes,Risk,Do you smoke cigarettes?,Never,NA,NA,Male,0.299,https://doi.org/10.1001/jama.2011.1142,2011,Table 1 and 2,Prospective cohort study,"467,528",United States,25-May-2023,1.000,https://doi.org/10.1001/jama.2011.1142,2011,Table 2,Prospective cohort study,"467,528",United States,25-May-2023
Bladder Cancer,Cancer,Diabetes,No,Risk,Have you been diagnosed with Diabetes?,No,NA,NA,Female,0.919,https://doi.org/10.24095/hpcdp.39.11.03,2019,Highlights,Nationally representative sample,"37,600,000",Canada,18-Sep-2023,1.000,https://doi.org/10.1007/s00125-006-0468-0,2006,Abstract - cohort RR,Meta-analysis,Unclear. Meta-analysis of 16 studies,Multiple countries,18-Sep-2023
Bladder Cancer,Cancer,Diabetes,No,Risk,Have you been diagnosed with Diabetes?,Yes,NA,NA,Female,0.081,https://doi.org/10.24095/hpcdp.39.11.03,2019,Highlights,Nationally representative sample,"37,600,000",Canada,18-Sep-2023,1.430,https://doi.org/10.1007/s00125-006-0468-0,2006,Abstract - cohort RR,Meta-analysis,Unclear. Meta-analysis of 16 studies,Multiple countries,18-Sep-2023
Bladder Cancer,Cancer,Diabetes,No,Risk,Have you been diagnosed with Diabetes?,No,NA,NA,Male,0.906,https://doi.org/10.24095/hpcdp.39.11.03,2019,Highlights,Nationally representative sample,"37,600,000",Canada,18-Sep-2023,1.000,https://doi.org/10.1007/s00125-006-0468-0,2006,Abstract - cohort RR,Meta-analysis,Unclear. Meta-analysis of 16 studies,Multiple countries,18-Sep-2023
